hw(rs1),HW
16,120
7,90
7,98
11,131
6,80
15,129
6,83
13,119
7,102
9,94
13,138
14,121
15,122
2,38
7,93
6,81
12,134
11,123
5,77
8,117
17,106
15,129
14,136
17,122
2,37
11,124
13,133
17,117
8,92
9,110
11,116
9,121
6,96
6,94
3,45
19,123
8,105
16,137
14,122
15,114
13,124
18,141
12,122
17,128
17,128
13,117
8,96
12,106
8,101
16,134
13,122
0,3
9,117
9,111
15,129
16,133
1,23
9,107
8,119
3,50
2,41
8,99
16,114
13,133
0,1
10,122
3,52
2,40
15,125
10,121
16,131
17,112
9,121
17,121
15,140
12,122
12,130
3,52
15,136
2,40
19,116
16,135
2,38
5,71
13,126
20,138
10,129
17,122
4,78
2,41
11,139
12,111
13,120
6,86
6,80
12,121
4,75
16,138
15,138
17,133
12,125
17,145
14,123
12,113
18,139
20,136
10,108
4,73
9,113
11,138
2,40
0,3
8,92
15,130
15,104
16,139
9,101
16,125
13,132
8,116
17,129
3,57
11,123
13,146
8,116
11,118
12,122
14,134
7,103
17,145
7,83
5,72
13,131
15,134
17,132
4,59
19,126
12,142
2,40
11,105
15,110
17,133
17,123
18,136
13,113
13,137
4,74
16,127
4,76
8,102
11,147
15,109
11,116
15,140
17,118
14,139
13,129
12,109
15,125
18,132
12,127
15,135
9,104
6,86
16,135
9,96
18,136
17,140
19,135
2,39
9,108
12,126
14,121
12,127
12,134
3,59
18,125
14,122
4,69
13,145
13,121
16,125
2,43
10,125
2,39
15,132
17,118
11,123
14,122
9,113
9,124
16,132
11,122
13,123
20,123
12,130
15,114
6,83
10,110
1,21
7,84
13,118
5,84
13,112
7,94
9,103
10,115
17,121
13,128
12,134
14,136
9,114
14,136
11,123
6,93
11,112
1,21
16,136
2,36
7,99
4,69
11,109
9,110
14,128
19,133
14,125
15,109
7,108
7,105
10,107
4,66
19,120
15,130
10,121
1,20
16,121
13,125
16,136
14,124
13,127
9,107
11,107
15,124
16,114
17,128
6,88
15,120
17,126
7,88
8,118
13,113
13,121
17,125
16,121
13,129
12,138
2,40
2,37
6,95
11,116
17,120
5,77
11,128
11,104
9,114
12,124
16,120
1,21
16,132
15,141
6,86
15,121
14,133
11,121
11,107
12,122
17,129
9,123
4,72
6,87
17,124
14,123
15,129
7,86
0,3
4,59
5,69
0,3
7,100
13,112
18,126
5,95
6,104
16,125
14,120
3,55
11,125
8,100
7,91
15,119
14,127
15,131
15,134
15,134
7,89
16,114
18,124
15,129
6,99
13,142
15,119
0,1
12,111
11,122
9,106
15,119
7,94
13,128
5,85
16,127
16,139
15,138
13,112
16,120
6,71
22,143
19,145
2,39
7,92
16,125
14,133
12,136
5,75
13,117
15,123
16,139
16,125
4,69
8,102
11,113
13,117
16,129
14,145
9,119
10,110
5,78
0,3
17,134
9,113
8,113
17,133
5,75
1,21
16,143
15,142
1,21
5,68
15,135
15,135
13,147
0,1
15,136
17,122
9,110
10,121
5,81
18,110
17,128
13,130
0,1
15,131
9,117
11,118
4,58
15,140
8,103
8,120
1,21
15,118
8,95
16,158
4,65
9,105
10,100
8,99
15,135
15,123
17,136
14,125
19,144
5,72
13,122
11,124
13,128
11,108
8,116
18,124
14,121
14,116
13,113
19,134
11,127
14,134
9,115
8,101
11,139
0,3
16,128
17,139
15,135
3,51
17,128
18,137
20,133
14,121
17,126
15,133
9,125
10,102
2,43
0,3
18,128
16,134
2,37
13,122
10,109
7,101
14,129
13,136
5,74
13,124
18,136
18,136
3,52
16,113
4,76
9,111
0,1
9,109
4,61
6,79
15,123
17,122
17,124
14,121
16,144
7,101
3,52
6,90
1,23
17,130
6,97
3,54
9,103
12,137
15,123
6,79
12,129
10,129
3,44
10,107
17,135
17,141
8,112
9,107
3,53
15,137
16,132
11,134
17,150
17,119
14,125
1,23
13,136
14,125
13,114
13,138
9,130
9,115
13,113
9,92
14,141
4,61
16,123
7,100
16,138
12,116
1,23
11,109
5,75
13,131
0,1
3,40
13,131
4,67
14,148
6,86
16,127
10,102
12,127
16,140
12,129
14,121
5,80
5,70
15,138
2,39
13,126
9,102
0,1
17,141
0,3
15,123
10,129
16,128
4,72
1,23
17,108
2,41
14,139
14,117
12,121
12,120
13,121
18,136
7,97
16,138
4,68
16,124
14,116
2,41
14,131
12,128
7,101
15,130
7,106
18,132
10,115
12,132
18,105
0,3
3,61
1,22
5,86
15,124
10,120
13,121
4,68
15,127
11,107
17,142
14,123
13,128
14,123
7,96
11,120
16,135
7,99
12,119
14,115
4,68
10,118
0,3
13,138
15,125
2,35
3,57
16,136
2,34
13,139
19,103
12,141
6,96
6,107
15,141
15,110
4,71
11,117
1,20
3,59
11,118
12,109
16,123
14,138
16,116
0,1
17,126
5,91
15,147
8,104
16,131
5,80
17,142
12,117
15,113
8,100
17,139
18,108
7,96
17,128
16,116
4,69
14,145
17,134
19,137
13,113
13,130
9,100
15,116
18,121
1,22
13,117
4,60
17,125
14,124
10,98
16,128
0,3
0,1
12,141
16,158
12,138
7,109
5,78
17,125
4,60
4,66
7,94
9,110
16,119
11,121
15,113
11,128
17,136
14,124
1,23
10,118
14,127
5,84
4,67
4,65
6,95
16,128
16,130
11,116
13,110
4,66
17,126
10,119
7,85
12,116
4,66
1,19
14,122
3,59
12,127
9,115
18,142
14,122
14,119
4,64
11,104
8,117
11,124
12,124
14,130
0,3
9,101
2,40
0,3
14,136
13,114
15,116
5,81
12,135
16,153
8,98
16,132
13,137
6,77
6,90
5,72
15,129
3,48
14,122
12,115
17,135
2,38
15,135
6,98
8,113
12,116
13,122
2,42
19,134
17,110
11,104
10,104
17,134
9,115
7,103
8,111
6,81
3,59
16,129
16,136
16,128
11,117
16,122
8,100
16,117
7,107
15,121
11,125
10,109
15,133
15,121
0,1
13,130
12,106
15,113
9,102
2,37
8,117
15,151
16,140
9,102
12,123
8,106
17,125
15,118
18,114
10,113
2,39
14,127
14,122
13,134
8,114
16,130
11,127
15,129
16,129
4,70
3,54
11,131
6,99
20,118
12,130
10,122
6,84
7,97
5,77
4,62
18,121
17,123
14,136
15,139
14,111
0,3
2,39
13,129
12,136
13,141
2,41
10,122
17,149
15,127
5,78
7,89
13,118
14,127
7,88
20,134
10,129
15,112
7,89
16,111
13,139
17,121
15,125
10,100
17,125
6,87
3,55
13,123
5,78
2,33
17,132
17,127
18,111
15,128
7,92
12,118
14,140
14,118
17,122
3,54
4,64
17,146
3,63
10,116
12,121
11,122
13,131
12,126
2,37
5,70
13,120
5,73
15,123
0,1
11,121
10,106
3,49
11,111
9,113
1,20
14,113
9,84
8,94
3,59
11,114
16,129
1,22
15,123
11,124
14,129
14,118
14,150
8,91
12,113
4,72
17,138
2,38
17,124
11,105
6,90
16,113
17,114
16,124
11,110
9,114
16,120
14,117
18,148
8,93
7,86
12,125
15,123
14,122
15,138
7,101
13,113
14,130
2,38
13,114
7,86
9,111
11,138
13,121
6,86
15,134
2,37
9,117
18,115
6,88
15,127
17,132
17,138
5,76
0,3
9,108
11,123
11,127
15,123
5,78
7,100
11,123
3,51
20,141
14,115
0,1
15,139
12,136
14,124
17,134
10,116
4,61
11,123
14,146
0,1
16,120
13,129
8,107
10,131
